Date,Close,High,Low,Open,Volume
2013-05-23,82.62596130371094,82.6512797709092,81.45282510359644,81.57098224324241,44524500
2013-05-24,82.60907745361328,82.66815602302202,81.62161860531816,82.11957206668993,33332500
2013-05-28,83.68090057373047,84.48268170280542,83.11543361157959,83.72309585263656,46121100
2013-05-29,82.90443420410156,83.70621529743472,82.1786084728603,83.174508445558,40491500
2013-05-30,83.46147918701172,83.66403330608905,82.9719674967521,83.13232632885631,30620300
2013-05-31,82.54154968261719,83.57120365487913,82.51622478081235,83.03105498648334,38953700
2013-06-03,83.32647705078125,83.419309293178,81.89170152552832,82.82852353747973,87088500
2013-06-04,82.44026947021484,83.723120949092,81.79884051123624,83.28425257026247,68206900
2013-06-05,81.38528442382812,82.46558167971891,81.14897020398696,82.33898293649555,58967500
2013-06-06,82.24616241455078,82.24616241455078,80.79451668142791,81.32622379325937,46335300
2013-06-07,82.87913513183594,83.09013089993032,82.0942306169617,82.62594407357061,44757500
2013-06-10,83.38552856445312,83.38552856445312,82.54998070231439,83.25048818464414,32136500
2013-06-11,82.48247528076172,83.10702100274708,81.74820762933166,82.44027354803985,43461300
2013-06-12,81.66378021240234,83.1154317063203,81.55405832378982,82.98883299434783,58446900
2013-06-13,83.10697937011719,83.30109178960383,81.334616948034,81.63845124199993,47768600
2013-06-14,82.46559143066406,83.25049600456254,82.22083554857956,82.94666156053214,37838400
2013-06-17,83.00572967529297,83.43616282334133,82.50778277857545,83.20828379945947,33308600
2013-06-18,83.98474884033203,84.2295046792545,82.98884865809677,83.14920104705487,40520200
2013-06-19,82.95509338378906,84.14510611626584,82.84537790717418,83.9847537179948,43193500
2013-06-20,80.76074981689453,82.88758452519876,80.42315526852295,81.62160979811566,76262300
2013-06-21,80.99705505371094,81.17429072308583,79.86611440840674,80.71853909937337,66115300
2013-06-24,79.93362426757812,80.61724839525382,79.19092159107959,80.10242472069977,58774600
2013-06-25,80.70167541503906,80.88734630909067,80.0686880188591,80.67635051036402,32418400
2013-06-26,81.08143615722656,81.55406451612691,80.7269648880513,81.46122588290314,33752300
2013-06-27,82.33897399902344,82.49089118658573,81.53719277743735,81.5709528679044,40852300
2013-06-28,81.8663558959961,82.67657885176175,81.73975715060904,82.2039504040017,46135800
2013-07-01,83.19984436035156,83.63871268016733,82.40649829248089,82.41493992528865,37805800
2013-07-02,83.14051818847656,83.79322943146981,82.60647524964662,83.20833419138988,36848900
2013-07-03,83.31007385253906,83.6152394793997,82.72517198984086,82.84385326010153,19153600
2013-07-05,84.48831939697266,84.55613539354802,83.33547332434915,84.24249125985403,29427500
2013-07-08,84.82740020751953,85.14104436818619,84.67481743574791,84.8782589756801,30905300
2013-07-09,85.61576080322266,85.78529437631254,85.02238683011683,85.36145397629657,36010700
2013-07-10,85.85308074951172,85.93784750678878,85.39533249946872,85.64963923858895,36061100
2013-07-11,86.8618392944336,86.9635568357734,86.41256957407538,86.81945267401515,34434200
2013-07-12,87.0398178100586,87.40432061595587,86.86180571424194,86.8702843285059,28584000
2013-07-15,87.80274963378906,87.8875163921575,87.17546139382658,87.26870676821859,30786600
2013-07-16,87.36196899414062,87.87905472740626,87.15852744135606,87.83667457369175,38630800
2013-07-17,87.70104217529297,88.11640389669766,87.51455139135484,87.85362495603412,28476600
2013-07-18,88.28593444824219,88.65890950884439,87.87057277136515,87.92991015377615,32034100
2013-07-19,88.42157745361328,88.42157745361328,87.93839968212379,88.20965726493735,22806600
2013-07-22,88.6080551147461,88.80302450502398,88.26898156968755,88.56567496366999,25854900
2013-07-23,88.5487289428711,88.96409069284036,88.37071676431285,88.9301891546023,26309700
2013-07-24,87.81121826171875,88.98950008476635,87.68407136290863,88.93016270955867,31809700
2013-07-25,88.61653137207031,88.7097767561606,87.59083861436707,87.70951338188382,46093900
2013-07-26,88.260498046875,88.30287819249013,87.6162590410074,88.12486605941271,23036800
2013-07-29,87.64170837402344,88.38766507302039,87.31111341343349,88.02316210784551,30360800
2013-07-30,87.71798706054688,88.04858196105921,87.40434292560131,87.89599920180049,26311000
2013-07-31,87.87059020996094,88.73522173486977,87.82820358527414,88.06555316202201,38330400
2013-08-01,89.06580352783203,89.30315306944544,87.94686535501882,88.73520859954336,34487100
2013-08-02,89.14209747314453,89.2438150089008,88.63348392520355,88.76911592926513,22983000
2013-08-05,89.44727325439453,89.54051865778048,88.9217153087186,89.04886871945318,14985000
2013-08-06,88.5487289428711,89.27773489351392,88.28594998413617,89.19296811333724,24689300
2013-08-07,87.92142486572266,88.44698265083031,87.70950473500785,88.26049836832416,23362200
2013-08-08,88.28593444824219,88.66738812555728,87.80275677224125,88.4130878297771,27640300
2013-08-09,88.19270324707031,88.6419729957489,87.75190564917725,88.09945785010412,27686900
2013-08-12,88.6589126586914,88.69282065945804,87.59083973734712,87.59083973734712,18960800
2013-08-13,88.54025268554688,88.73522210571369,87.97230812919933,88.73522210571369,22812900
2013-08-14,88.19270324707031,88.70131038770096,88.16727386013238,88.5656848349351,23629000
2013-08-15,86.55668640136719,87.27721378288089,86.37019559190196,87.1754897593659,50044500
2013-08-16,86.19215393066406,86.78552769672231,86.08195779333582,86.30235006799231,36059500
2013-08-19,85.31903839111328,86.36168172055058,85.2681731664732,86.15824022385598,25184600
2013-08-20,86.54817962646484,86.74314899128441,85.36990422339065,85.42076298495701,32450400
2013-08-21,86.02262115478516,86.88725243092966,85.62421027960391,86.20063328612994,41452900
2013-08-22,87.23480224609375,87.30261177008882,86.2853977699851,86.31082714989435,24006100
2013-08-23,87.45521545410156,87.52303146162104,86.84488432100709,87.47217268962665,20801100
2013-08-26,87.46369934082031,88.0062144990773,87.11614713181368,87.61628213328576,23376100
2013-08-27,85.41226959228516,86.79398616525017,85.24272965041713,86.41253261380025,47269300
2013-08-28,85.58181762695312,85.92089110108846,85.19188539524852,85.2936093776757,28927500
2013-08-29,86.43797302246094,86.76856786719615,85.45466063596459,85.52247662136881,27628600
2013-08-30,85.09017944335938,86.50581101279887,84.97150467235822,86.45494577716268,43334600
2013-09-03,85.66659545898438,86.77706139209008,84.87825227825124,86.34474249496817,37995800
2013-09-04,86.4210205078125,86.47188573328516,85.40380654040062,85.75135863409436,22580800
2013-09-05,86.55668640136719,86.91271078273284,86.33628758406363,86.48887038569052,22770200
2013-09-06,86.79399871826172,87.21783893330051,85.395324715176,87.05677758205347,36792000
2013-09-09,88.10792541503906,88.18421356628251,87.08223264437474,87.09070479409743,27358500
2013-09-10,88.97251892089844,88.98947614770441,88.328280115301,88.65040275174327,25126300
2013-09-11,89.01493835449219,89.19295049789336,88.60804883579698,88.82844759456061,26412500
2013-09-12,88.36221313476562,89.0234028871979,88.3367837546396,88.93016398249881,32707600
2013-09-13,88.84539031982422,88.86234755135037,88.24353794642418,88.65889957677005,29478700
2013-09-16,89.04034423828125,89.92193257338754,88.87928290315682,89.89650319779689,28755900
2013-09-17,89.92196655273438,89.92196655273438,89.04037788449695,89.05732865220007,28901400
2013-09-18,90.77814483642578,91.21894252785606,89.22689369842058,89.89656238814932,46237100
2013-09-19,90.68486022949219,91.06631385703497,90.37969474054245,91.00697648236634,34775900
2013-09-20,90.3542709350586,90.93917261137575,90.32036940269178,90.90526461171929,49522500
2013-09-23,90.36273956298828,90.59161691854663,89.68459904669038,90.46446355071299,47759700
2013-09-24,90.66276550292969,91.30021816341913,89.91482338237678,90.4842795361331,45267000
2013-09-25,90.49278259277344,91.35122067565352,90.37379194578062,90.74775977154208,37106600
2013-09-26,90.99427032470703,91.34274767306194,90.39931690618151,90.73079188000372,29490600
2013-09-27,90.5863037109375,90.98577521207909,90.2718246285587,90.42481357613407,30296400
2013-09-30,90.6117935180664,90.80727541708615,89.44737737247246,89.60886749431906,45771700
2013-10-01,91.66569519042969,91.73369170006241,90.47578220987322,90.5692757894922,39344400
2013-10-02,91.2917251586914,91.58070059091757,90.8157560872249,91.01973912670832,30622900
2013-10-03,90.3568115234375,91.2492480771532,89.7533569572557,91.12175621455016,57799200
2013-10-04,90.96024322509766,91.2152268862089,90.22080227998201,90.38228587981551,25902800
2013-10-07,89.8978271484375,90.65427698958501,89.85533419220725,90.08481431246244,32924200
2013-10-08,88.44444274902344,90.11881968798,88.32545208697113,89.95732958183552,61365000
